date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:26:45.421000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:45.681000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:45.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:46.101000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:46.361000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:46.601000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:46.962000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:47.141000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:47.401000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:47.661000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:47.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:48.142000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:48.322000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:48.662000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:48.862000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:49.041000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:49.282000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:49.562000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:49.802000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:50.061000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:50.281000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:50.641000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:50.801000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:51.141000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:51.221000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:51.461000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:51.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:52.101000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:52.461000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:52.621000+00:00,9496,-3383,3693,766,1232,1
